utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,PopulationFemale,Beer,NoHealthInsurance,DrinkingPlaces,Cases,Neighbor_Disadvantage
964977.0125,3784259.824,-117.9617,34.095832,586.6,31293080.12,116416.67,5540.330218,22373.51,16398.33663,49720,784.571151
762363.8581,4091847.347,-120.054123,36.936176,146.4,53151.88517,1184.55,41.123164,193.16,60.642124,184,15.645835
540020.9879,4217113.211,-122.543541,38.100942,357.9,216855.6603,2805.15,104.811558,179.33,372.980337,803,-30.913809
758072.5884,4139865.184,-120.085692,37.369645,151.8,100.931243,255.88,4.946058,26.97,31.240857,23,-0.142083
474663.8319,4328372.081,-123.293023,39.104122,223.8,13462.31697,858.08,20.937869,156.78,84.84697,165,4.808176
715457.2396,4119997.975,-120.572253,37.201602,142.9,124880.8393,2365.72,71.360782,405.16,156.524576,313,53.247116
889703.1655,4182169.419,-118.58016,37.703931,71.2,131.669397,140.73,4.596421,37.76,35.042369,9,-0.730333
603458.6773,4051295.69,-121.843261,36.601554,213.8,522567.1167,4427.02,152.884347,799.5,356.034275,752,9.239494
570229.5833,4251816.117,-122.195581,38.411828,222.7,141022.1364,1897.52,193.54297,218.01,238.161716,264,-10.446292
682965.4242,4345366.544,-120.880001,39.23833,140,9644.596401,1009.1,34.863555,129.96,151.043754,123,-8.104102
971759.6783,3742848.476,-117.910676,33.720791,259.8,4894974.813,29436.68,1228.20996,4166.27,5366.889861,6968,-102.341253
650330.7956,4288588.216,-121.270448,38.733183,108.1,211594.8669,4143.98,190.299166,358.91,909.851104,365,-38.510219
676509.8738,4422597.09,-120.934198,39.9351,113.8,138.77138,297.58,2.576483,21.71,30.196478,19,-2.291482
1082439.985,3736102.715,-116.726737,33.605468,462.8,1872521.927,22475.43,873.35396,4014.24,2483.469136,9406,103.409224
628900.6067,4281485.886,-121.51824,38.672587,342.4,1782927.54,16212.04,710.085619,1719.77,2513.655283,4415,52.285333
645018.7211,4077285.443,-121.373806,36.830339,101,36637.04408,546.86,20.128289,81.23,57.992265,52,1.312537
1017643.577,3786208.7,-117.392148,34.088632,267.2,1760731.348,18464.04,1069.737535,3132.83,1769.52981,4728,171.670731
1040515.22,3660738.633,-117.221086,32.95124,471.1,4685056.802,31085.52,1591.225311,4933.5,5488.090075,13241,-34.16627
551233.6069,4178438.939,-122.418413,37.751822,1519.6,6055110.053,9455.13,542.877341,715.46,3202.853476,12006,-42.081617
647905.977,4209867.507,-121.31487,38.024447,222.3,742633.483,6870.97,464.651912,956.78,653.079622,1368,69.806852
696962.0958,3911471.395,-120.833064,35.32709,154.3,107352.0952,2567.28,189.513462,309.54,337.050219,382,-20.818637
555509.8235,4160988.481,-122.371202,37.594294,258.3,1384304.957,7895.24,333.492201,596.24,1317.109862,1689,-66.316542
735122.98,3861892.249,-120.427651,34.872224,154.7,520265.0249,4322.32,100.083108,804.68,521.863149,578,-3.237607
