UTM_Easting,UTM_Northing,X,Y,Five_ave_crime,PopulationDensity,PopulationFemale,Population65,NoHealthInsurance,X.Black,Neighbor_Disadvantage,X.Immigrants,Beer,MentalHealthPati,NatureParks,Casinos,DrinkingPlaces,ReligiousPlaces
3266334.988,4474863.821,-92.584648,36.281656,7975.569664,156.97136,207.52,107,22.63,2.46,0.06052592,7.6467274,3.369605,1.021526,17.203103,2.295645,2.970436,23.833933
3235294.279,4101634.217,-94.036511,33.438051,6782.906911,15218.22302,565.15,183.35,106.58,344.58,4.993398011,26.5289216,32.862381,15.333291,208.71854,18.878135,43.383211,314.613554
3533475.525,4528058.951,-89.879022,35.941338,8812.077814,2999.7536,616.15,176.42,97.82,436.6,7.56956412,22.1648795,43.33986,18.289866,115.897759,12.07959,15.264273,261.512997
3470615.61,4328882.473,-91.141523,34.603114,1155.417911,48.912558,160.52,69.57,26.28,122.62,1.365943968,0.7568545,19.795327,0.605492,34.142107,2.365077,5.262949,49.13565
3244241.062,4252423.532,-93.505557,34.602279,2534.811637,38.88949,149.63,81.23,28.63,0.93,0.2253975,7.1258321,16.911555,0.925804,17.497895,7.376784,4.662649,28.094076
3302200.865,4152964.469,-93.258631,33.677803,622.224819,46.347703,146.25,59.18,27.21,103.66,0.815887776,0.1544331,3.950678,2.307214,33.254384,3.366754,3.362978,43.874148
3217980.788,4430006.859,-93.19732,36.061087,1728.04379,23.746069,101.02,51.14,9.98,0.05,0.108692574,2.4527208,1.563648,0.432129,7.623055,0.480481,1.849144,14.864926
3350344.653,4172431.687,-92.750669,33.709307,0,1614.49161,314.9,120.05,43.66,258.84,2.096545301,4.6289207,6.274237,7.151281,44.880684,5.093926,5.412835,105.132815
3293073.895,4312916.176,-92.855125,34.950385,5149.497885,69.918111,151.33,60.46,15.29,2.23,-0.19484278,1.8412583,8.392494,0.927453,31.595023,2.471948,3.772684,54.219878
3508849.578,4305163.068,-90.866142,34.318367,0,1099.920179,322.31,106.28,47.76,396.64,6.695725761,2.4010387,18.576819,7.269143,51.646384,6.36187,6.092101,59.849655
3255540.211,4184185.538,-93.604327,34.038356,1921.736311,56.614901,152.58,62.11,27.8,9.45,-0.910742706,10.7530114,25.783328,0.348567,20.059864,4.397333,4.374791,51.804211
3486733.509,4474820.887,-90.500527,35.671795,1181.74203,1446.431484,362.37,119.65,85.93,36.71,1.937175291,7.08479,16.899272,16.29935,91.777313,10.274446,10.169109,164.575834
